v1adjust     n    0.99231 # Range:      0.92593 -      1.08000
v2adjust     n    1.01463 # Range:      0.89286 -      1.12000
v3adjust     n    1.02950 # Range:      0.89286 -      1.12000
v4adjust     n    1.14850 # Range:      0.83333 -      1.20000
rvadjust     n    1.04188 # Range:      0.92593 -      1.08000
avadjust     n    1.01175 # Range:      0.92593 -      1.08000
w1adjust     n    0.98038 # Range:      0.71429 -      1.40000
w2adjust     n    0.79581 # Range:      0.71429 -      1.40000
w3adjust     n    1.22727 # Range:      0.71429 -      1.40000
w4adjust     n    0.91385 # Range:      0.71429 -      1.40000
rwadjust     n    1.01978 # Range:      0.98039 -      1.02000
awadjust     n    1.01894 # Range:      0.98039 -      1.02000
rvdadjust    n    0.90175 # Range:      0.89286 -      1.12000
avdadjust    n    0.91916 # Range:      0.86207 -      1.16000
d1adjust     n    0.79746 # Range:      0.71429 -      1.40000
d2adjust     n    1.08982 # Range:      0.71429 -      1.40000
d3adjust     n    1.08281 # Range:      0.71429 -      1.40000
rwdadjust    n    0.97481 # Range:      0.97087 -      1.03000
awdadjust    n    1.03779 # Range:      0.96154 -      1.04000
rvsoadjust   n    1.13850 # Range:      0.71429 -      1.40000
avsoadjust   n    1.13551 # Range:      0.71429 -      1.40000
vso1adjust   n    1.06762 # Range:      0.83333 -      1.20000
vso2adjust   n    0.82633 # Range:      0.71429 -      1.40000
wso1adjust   n    0.82298 # Range:      0.71429 -      1.40000
wso2adjust   n    1.31685 # Range:      0.71429 -      1.40000
rcadjust     n    0.89785 # Range:      0.83333 -      1.20000
cstrip       n    0.93114 # Range:      0.50000 -      2.00000
cknock       n    0.93114 # Range:      0.50000 -      2.00000
cbreak       n    0.58789 # Range:      0.50000 -      2.00000
m2constant      1.52864 # Range:      0.55556 -      1.80000
rgamma          2.63935 # Range:      0.66667 -      6.00000
gamgamadjust  50 121    1.43975 # Range:      0.26923 -      1.82000
sgradjust     50 121    1.30420 e1 # Range:      0.55556 -      1.80000
egradjust     50 121    0.86972 e1 # Range:      0.71429 -      1.40000
ggradjust     50 121    1.29830 e1 # Range:      0.55556 -      1.80000
s2adjust      50 121    1.24499 0 # Range:      0.76923 -      1.30000
s2adjust      50 120    1.19546 0 # Range:      0.76923 -      1.30000
s2adjust      49 120    0.81234 0 # Range:      0.68548 -      1.45882
s2adjust      49 119    1.18902 0 # Range:      0.72319 -      1.38276
s2adjust      49 118    0.83556 0 # Range:      0.75581 -      1.32308
s2adjust      48 118    0.78353 0 # Range:      0.72319 -      1.38276
s2adjust      48 117    0.90413 0 # Range:      0.75581 -      1.32308
s2adjust      50 119    1.65362 0 # Range:      1.38462 -      2.34000
s2adjust      49 117    0.77642 0 # Range:      0.76923 -      1.30000
s2adjust      48 116    1.27163 0 # Range:      0.76923 -      1.30000
s2adjust      47 116    0.79517 0 # Range:      0.62500 -      1.60000
s2adjust      47 115    0.72773 0 # Range:      0.65183 -      1.53415
s2adjust      47 114    1.25284 0 # Range:      0.68548 -      1.45882
s2adjust      46 114    1.39077 0 # Range:      0.65183 -      1.53415
s2adjust      46 113    1.33185 0 # Range:      0.68548 -      1.45882
s2adjust      48 119    1.28712 0 # Range:      0.68548 -      1.45882
s2adjust      47 117    0.63685 0 # Range:      0.60456 -      1.65410
s2adjust      50 118    0.91047 0 # Range:      0.76923 -      1.30000
s2adjust      49 116    0.87445 0 # Range:      0.76923 -      1.30000
s2adjust      48 115    1.27823 0 # Range:      0.76923 -      1.30000
s2adjust      47 113    1.25118 0 # Range:      0.72319 -      1.38276
s2adjust      46 112    1.35165 0 # Range:      0.72319 -      1.38276
s2adjust      50 117    0.79233 0 # Range:      0.76923 -      1.30000
s2adjust      49 115    0.92707 0 # Range:      0.76923 -      1.30000
s2adjust      48 114    0.86342 0 # Range:      0.76923 -      1.30000
s2adjust      46 115    0.75430 0 # Range:      0.62500 -      1.60000
s2adjust      47 118    1.52392 0 # Range:      0.58917 -      1.69730
s2adjust      46 116    1.35004 0 # Range:      0.60456 -      1.65410
s2adjust      47 112    0.84766 0 # Range:      0.75581 -      1.32308
s2adjust      46 111    1.24256 0 # Range:      0.75581 -      1.32308
gnadjust      50 121    1.00534 # Range:      0.69231 -      1.17000
gnadjust      50 120    0.84278 # Range:      0.76923 -      1.30000
gnadjust      49 120    1.02726 # Range:      0.61818 -      1.61765
gnadjust      49 119    1.11567 # Range:      0.68235 -      1.46552
gnadjust      49 118    1.06233 # Range:      0.74286 -      1.34615
gnadjust      48 118    0.80345 # Range:      0.68235 -      1.46552
gnadjust      48 117    1.22911 # Range:      0.74286 -      1.34615
gnadjust      50 119    1.04021 # Range:      0.76923 -      1.30000
gnadjust      49 117    1.05696 # Range:      0.76923 -      1.30000
