
# Arjan Koning 2023-09-07 (p,2n)

D4104009  1 # AK 2023-09-06 p  13  27 016  Wilson 1976
C0695009  1 # AK 2023-09-06 p  79 197 016  Thomas 1967
C2506002  1 # AK 2023-09-06 p   4   9 016  Davison 1974
E0058003  1 # AK 2023-09-06 p  83 209 016  Miyano 1973
O0422002  1 # AK 2023-09-06 p  83 209 016  Andre 1956
P0010006  1 # AK 2023-09-06 p  83 209 016  Daly 1964
A0510006  1 # AK 2023-09-06 p  20  44 016  Levkovski 1991
O2423002  1 # AK 2023-09-06 p  20  44 016  Carzaniga 2017
O2422002  1 # AK 2023-09-06 p  20  48 016  Carzaniga 2019
A0001003  1 # AK 2023-09-06 p  48 110 016  Skakun 1975
P0019004  1 # AK 2023-09-06 p  48 110 016  Otozai 1966
A0001005  1 # AK 2023-09-06 p  48 111 016  Skakun 1975
A0335004  1 # AK 2023-09-06 p  48 111 016  Marten 1985
A0001007  1 # AK 2023-09-06 p  48 112 016  Skakun 1975
D4027007  1 # AK 2023-09-06 p  48 112 016  Tarkanyi 1994
D4320002  1 # AK 2023-09-06 p  48 112 016  Hermanne 2014
P0019011  1 # AK 2023-09-06 p  48 112 016  Otozai 1966
A0001009  1 # AK 2023-09-06 p  48 113 016  Skakun 1975
A0193003  1 # AK 2023-09-06 p  58 140 016  Zeisler 2000
E1877003  1 # AK 2023-09-06 p  58 140 016  Furukawa 1967
A0510079  1 # AK 2023-09-06 p  29  63 016  Levkovski 1991
B0017006  0 # AK 2023-09-06 p  29  63 016  Ghoshal 1950
C0537021  1 # AK 2023-09-06 p  29  63 016  Greenwood 1984
D0499002  1 # AK 2023-09-06 p  29  63 016  XuYongJunnn 2001
O1600002  1 # AK 2023-09-06 p  29  63 016  Uddin 2007
C2018009  1 # AK 2023-09-06 p  66 161 016  May 1964
C2018011  1 # AK 2023-09-06 p  66 162 016  May 1964
D4230005  1 # AK 2023-09-06 p  68 166 016  Tarkanyi 2010
D4230004  1 # AK 2023-09-06 p  68 167 016  Tarkanyi 2010
A0182004  1 # AK 2023-09-06 p  26  56 016  Lagunassolar 1979
A0510047  1 # AK 2023-09-06 p  26  56 016  Levkovski 1991
S0041003  1 # AK 2023-09-06 p  26  56 016  ZHAOWENRONGG 1993
A0510051  1 # AK 2023-09-06 p  26  57 016  Levkovski 1991
A0510056  1 # AK 2023-09-06 p  26  58 016  Levkovski 1991
A0510101  1 # AK 2023-09-06 p  31  69 016  Levkovski 1991
B0050014  1 # AK 2023-09-06 p  31  69 016  Cohen 1955
P0014003  1 # AK 2023-09-06 p  31  69 016  Porile 1963
A0510112  1 # AK 2023-09-06 p  32  72 016  Levkovski 1991
A0510115  1 # AK 2023-09-06 p  32  73 016  Levkovski 1991
O1618005  1 # AK 2023-09-06 p  36  78 016  Helus 1991
O1618007  1 # AK 2023-09-06 p  36  80 016  Helus 1991
A04890031 0 # AK 2023-09-06 p  36  82 016  Kovacs 1991
A04890052 1 # AK 2023-09-06 p  36  84 016  Kovacs 1991
A0510239  1 # AK 2023-09-06 p  42  97 016  Levkovski 1991
C2413025  1 # AK 2023-09-06 p  42  97 016  Lamere 2019
O2103008  0 # AK 2023-09-06 p  42 100 016  Delaunayolkowsky 1963
O2244003  1 # AK 2023-09-06 p  60 150 016  Olkowsky 1961
D4020002  1 # AK 2023-09-06 p  28  61 016  Szelecsenyi 1993
A0510071  1 # AK 2023-09-06 p  28  62 016  Levkovski 1991
C1267009  0 # AK 2023-09-06 p  28  62 016  Sterns 1962
C2376009  0 # AK 2023-09-06 p  28  62 016  Stearns 1962
D0056003  1 # AK 2023-09-06 p  28  62 016  Piel 1992
