#
# Reference Number = 2408 Incident Particle: neutron  imodel=1
# Target: Z= 92 A= 238 Number of energies= 102
# Type potential: rotational   dispersive+SO(Anal.Integr.)  relativ.Schoedr.
# First Author: R.Capote      
# Z-Range=90- 97  A-Range=228-249  E-Range=   0.001- 200.000 MeV         Ef = -5.480
# ncoll= 5 lmax= 8 ndef= 6 K= 0.0 betas:  0.228   0.062  -0.006
# WARNING: V = VHF + DWV for dispersive potentials
# En(MeV)   V     RV     AV      DWV     W      RW     AW      VD     RVD    AVD     WD     RWD    AWD     VSO    RVSO   AVSO    WSO    RWSO   AWSO   VHFpn    WSpn     DVSpn     WVpn    DVVpn   V(Lane)  W(Lane)    VHF
  0.001  44.721 1.2516 0.6360  0.9312  0.0572 1.2530 0.6800  3.3502 1.1808 0.6030  2.1158 1.1808 0.6030  5.7609 1.1214 0.5900 -0.0036 1.1214 0.5900  -0.583   -0.248   -0.392    0.000    0.000   -9.447   -4.010   43.790
  0.002  44.721 1.2516 0.6360  0.9314  0.0572 1.2530 0.6800  3.3505 1.1808 0.6030  2.1164 1.1808 0.6030  5.7609 1.1214 0.5900 -0.0036 1.1214 0.5900  -0.583   -0.248   -0.392    0.000    0.000   -9.447   -4.012   43.790
  0.003  44.721 1.2516 0.6360  0.9316  0.0572 1.2530 0.6800  3.3508 1.1808 0.6030  2.1170 1.1808 0.6030  5.7608 1.1214 0.5900 -0.0036 1.1214 0.5900  -0.583   -0.248   -0.392    0.000    0.000   -9.447   -4.013   43.789
  0.004  44.720 1.2516 0.6360  0.9317  0.0573 1.2530 0.6800  3.3511 1.1808 0.6030  2.1176 1.1808 0.6030  5.7608 1.1214 0.5900 -0.0036 1.1214 0.5900  -0.583   -0.248   -0.392    0.000    0.000   -9.447   -4.014   43.789
  0.005  44.720 1.2516 0.6360  0.9319  0.0573 1.2530 0.6800  3.3514 1.1808 0.6030  2.1182 1.1808 0.6030  5.7607 1.1214 0.5900 -0.0036 1.1214 0.5900  -0.583   -0.248   -0.392    0.000    0.000   -9.447   -4.015   43.788
  0.006  44.720 1.2516 0.6360  0.9321  0.0573 1.2530 0.6800  3.3517 1.1808 0.6030  2.1188 1.1808 0.6030  5.7607 1.1214 0.5900 -0.0036 1.1214 0.5900  -0.583   -0.248   -0.392    0.000    0.000   -9.447   -4.016   43.788
  0.007  44.720 1.2516 0.6360  0.9322  0.0573 1.2530 0.6800  3.3519 1.1808 0.6030  2.1194 1.1808 0.6030  5.7606 1.1214 0.5900 -0.0036 1.1214 0.5900  -0.583   -0.248   -0.392    0.000    0.000   -9.447   -4.017   43.787
  0.008  44.719 1.2516 0.6360  0.9324  0.0573 1.2530 0.6800  3.3522 1.1808 0.6030  2.1200 1.1808 0.6030  5.7606 1.1214 0.5900 -0.0036 1.1214 0.5900  -0.583   -0.248   -0.392    0.000    0.000   -9.447   -4.018   43.787
  0.009  44.719 1.2516 0.6360  0.9326  0.0574 1.2530 0.6800  3.3525 1.1808 0.6030  2.1206 1.1808 0.6030  5.7605 1.1214 0.5900 -0.0036 1.1214 0.5900  -0.583   -0.248   -0.392    0.000    0.000   -9.447   -4.020   43.786
  0.010  44.719 1.2516 0.6360  0.9327  0.0574 1.2530 0.6800  3.3528 1.1808 0.6030  2.1212 1.1808 0.6030  5.7605 1.1214 0.5900 -0.0036 1.1214 0.5900  -0.583   -0.248   -0.392    0.000    0.000   -9.447   -4.021   43.786
