## header:
##   title: U238(n,x) nuclear model parameters
##   source: TALYS-2.2
##   user: Arjan Koning
##   date: 2026-01-18
##   format: YANDF-0.4
## target:
##   Z: 92
##   A: 238
##   nuclide: U238  
## residual:
##   Z: 92
##   A: 239
##   nuclide: U239  
## parameters: 
##   level density
a                92 239  16.58273
aadjust          92 239   1.00000
gammald          92 239   0.07632
pair             92 239   0.77622
Pshift           92 239   0.00000   0
Pshiftadjust     92 239   0.00000   0
deltaW           92 239   3.07648   0
Ntop             92 239  36   0
Nlow             92 239   6   0
s2adjust         92 239   1.00000   0
ctable           92 239   0.40762   0
ptable           92 239   0.52123   0
ctableadjust     92 239   0.00000   0
ptableadjust     92 239   0.00000   0
Ufermi           92 239  30.00000   0
cfermi           92 239   5.00000   0
Krotconstant     92 239   1.00000   0
Pshift           92 239   0.00000   1
Pshiftadjust     92 239   0.00000   1
deltaW           92 239   2.50000   1
Ntop             92 239   1   1
Nlow             92 239   0   1
s2adjust         92 239   1.00000   1
ctable           92 239   0.51031   1
ptable           92 239   0.57035   1
ctableadjust     92 239   0.00000   1
ptableadjust     92 239   0.00000   1
Ufermi           92 239  45.00000   1
cfermi           92 239   5.00000   1
Krotconstant     92 239   1.00000   1
Pshift           92 239   0.00000   2
Pshiftadjust     92 239   0.00000   2
deltaW           92 239   0.60000   2
Ntop             92 239   1   2
Nlow             92 239   0   2
s2adjust         92 239   1.00000   2
ctable           92 239  -0.15170   2
ptable           92 239  -1.97709   2
ctableadjust     92 239   0.00000   2
ptableadjust     92 239   0.00000   2
Ufermi           92 239  45.00000   2
cfermi           92 239   5.00000   2
Krotconstant     92 239   1.00000   2
Pshift           92 239   0.00000   3
Pshiftadjust     92 239   0.00000   3
deltaW           92 239   0.60000   3
Ntop             92 239   1   3
Nlow             92 239   0   3
s2adjust         92 239   1.00000   3
ctable           92 239   0.97253   3
ptable           92 239   0.96821   3
ctableadjust     92 239   0.00000   3
ptableadjust     92 239   0.00000   3
Ufermi           92 239  45.00000   3
cfermi           92 239   5.00000   3
Krotconstant     92 239   1.00000   3
D0               92 239 2.03000E+01
g                92 239  15.93333
gp               92 239   6.13333
gn               92 239   9.80000
gnadjust         92 239   1.00000
gpadjust         92 239   1.00000
gadjust          92 239   1.00000
Risomer          92 239   1.00000
## parameters: 
##   photon strength function
gamgam           92 239   0.00002
gamgamadjust     92 239   1.00000
etable           92 239  -1.06343 E1
ftable           92 239   0.63082 E1
wtable           92 239   1.01700 E1
etableadjust     92 239   0.00000 E1
ftableadjust     92 239   1.00000 E1
wtableadjust     92 239   1.00000 E1
etable           92 239   0.00000 M1
ftable           92 239   1.00000 M1
wtable           92 239   1.00000 M1
etableadjust     92 239   0.00000 M1
ftableadjust     92 239   1.00000 M1
wtableadjust     92 239   1.00000 M1
upbendc          92 239 1.00000E-08 M1
upbende          92 239 8.00000E-01 M1
upbendf          92 239 0.00000E+00 M1
upbendcadjust    92 239 1.00000E+00 M1
upbendeadjust    92 239 1.00000E+00 M1
upbendfadjust    92 239 1.00000E+00 M1
sgr              92 239   0.000 M1
egr              92 239   0.000 M1
ggr              92 239   0.000 M1
sgradjust        92 239   1.000 M1
egradjust        92 239   1.000 M1
ggradjust        92 239   1.000 M1
etable           92 239   0.00000 E2
ftable           92 239   1.00000 E2
wtable           92 239   1.00000 E2
etableadjust     92 239   0.00000 E2
ftableadjust     92 239   1.00000 E2
wtableadjust     92 239   1.00000 E2
etable           92 239   0.00000 M2
ftable           92 239   1.00000 M2
wtable           92 239   1.00000 M2
etableadjust     92 239   0.00000 M2
ftableadjust     92 239   1.00000 M2
wtableadjust     92 239   1.00000 M2
upbendc          92 239 0.00000E+00 M2
upbende          92 239 0.00000E+00 M2
upbendf          92 239 0.00000E+00 M2
upbendcadjust    92 239 1.00000E+00 M2
upbendeadjust    92 239 1.00000E+00 M2
upbendfadjust    92 239 1.00000E+00 M2
sgr              92 239   0.000 M2
egr              92 239   0.000 M2
ggr              92 239   0.000 M2
sgradjust        92 239   1.000 M2
egradjust        92 239   1.000 M2
ggradjust        92 239   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       92 239   0.76510
vfiscor          92 239   1.19064
rmiufiscor       92 239   1.00000
betafiscoradjust   92 239   1.00000
vfiscoradjust    92 239   1.00000
rmiufiscoradjust   92 239   1.00000
bdamp            92 239   0.01000  1
bdampadjust      92 239   1.00000  1
class2width      92 239   0.20000  1
Rtransmom        92 239   0.60000  1
Rclass2mom       92 239   1.00000  1
bdamp            92 239   0.01000  2
bdampadjust      92 239   1.00000  2
class2width      92 239   0.20000  2
Rtransmom        92 239   1.00000  2
Rclass2mom       92 239   1.00000  2
bdamp            92 239   0.01000  3
bdampadjust      92 239   1.00000  3
Rtransmom        92 239   1.00000  3
Rclass2mom       92 239   1.00000  3
## residual:
##   Z: 92
##   A: 238
##   nuclide: U238  
## parameters: 
##   level density
a                92 238  16.41695
aadjust          92 238   1.00000
gammald          92 238   0.07643
pair             92 238   1.55569
Pshift           92 238   0.00000   0
Pshiftadjust     92 238   0.00000   0
deltaW           92 238   3.01098   0
Ntop             92 238  36   0
Nlow             92 238   6   0
s2adjust         92 238   1.00000   0
ctable           92 238   0.31369   0
ptable           92 238   0.52605   0
ctableadjust     92 238   0.00000   0
ptableadjust     92 238   0.00000   0
Ufermi           92 238  30.00000   0
cfermi           92 238   5.00000   0
Krotconstant     92 238   1.00000   0
Pshift           92 238   0.00000   1
Pshiftadjust     92 238   0.00000   1
deltaW           92 238   2.50000   1
Ntop             92 238   1   1
Nlow             92 238   0   1
s2adjust         92 238   1.00000   1
ctable           92 238   0.00000   1
ptable           92 238   0.00000   1
ctableadjust     92 238   0.00000   1
ptableadjust     92 238   0.00000   1
Ufermi           92 238  45.00000   1
cfermi           92 238   5.00000   1
Krotconstant     92 238   1.00000   1
Pshift           92 238   0.00000   2
Pshiftadjust     92 238   0.00000   2
deltaW           92 238   0.60000   2
Ntop             92 238   1   2
Nlow             92 238   0   2
s2adjust         92 238   1.00000   2
ctable           92 238   0.00000   2
ptable           92 238   0.00000   2
ctableadjust     92 238   0.00000   2
ptableadjust     92 238   0.00000   2
Ufermi           92 238  45.00000   2
cfermi           92 238   5.00000   2
Krotconstant     92 238   1.00000   2
Pshift           92 238   0.00000   3
Pshiftadjust     92 238   0.00000   3
deltaW           92 238   0.60000   3
Ntop             92 238   1   3
Nlow             92 238   0   3
s2adjust         92 238   1.00000   3
ctable           92 238   0.00000   3
ptable           92 238   0.00000   3
ctableadjust     92 238   0.00000   3
ptableadjust     92 238   0.00000   3
Ufermi           92 238  45.00000   3
cfermi           92 238   5.00000   3
Krotconstant     92 238   1.00000   3
D0               92 238 3.50000E+00
g                92 238  15.86667
gp               92 238   6.13333
gn               92 238   9.73333
gnadjust         92 238   1.00000
gpadjust         92 238   1.00000
gadjust          92 238   1.00000
Risomer          92 238   1.00000
## parameters: 
##   photon strength function
gamgam           92 238   0.00000
gamgamadjust     92 238   1.00000
etable           92 238   0.00000 E1
ftable           92 238   1.00000 E1
wtable           92 238   1.01700 E1
etableadjust     92 238   0.00000 E1
ftableadjust     92 238   1.00000 E1
wtableadjust     92 238   1.00000 E1
etable           92 238   0.00000 M1
ftable           92 238   1.00000 M1
wtable           92 238   1.00000 M1
etableadjust     92 238   0.00000 M1
ftableadjust     92 238   1.00000 M1
wtableadjust     92 238   1.00000 M1
upbendc          92 238 1.00000E-08 M1
upbende          92 238 8.00000E-01 M1
upbendf          92 238 0.00000E+00 M1
upbendcadjust    92 238 1.00000E+00 M1
upbendeadjust    92 238 1.00000E+00 M1
upbendfadjust    92 238 1.00000E+00 M1
sgr              92 238 459.000 E1 2
egr              92 238  13.800 E1 2
ggr              92 238   5.130 E1 2
sgradjust        92 238   1.000 E1 2
egradjust        92 238   1.000 E1 2
ggradjust        92 238   1.000 E1 2
sgr              92 238   0.000 M1
egr              92 238   0.000 M1
ggr              92 238   0.000 M1
sgradjust        92 238   1.000 M1
egradjust        92 238   1.000 M1
ggradjust        92 238   1.000 M1
etable           92 238   0.00000 E2
ftable           92 238   1.00000 E2
wtable           92 238   1.00000 E2
etableadjust     92 238   0.00000 E2
ftableadjust     92 238   1.00000 E2
wtableadjust     92 238   1.00000 E2
etable           92 238   0.00000 M2
ftable           92 238   1.00000 M2
wtable           92 238   1.00000 M2
etableadjust     92 238   0.00000 M2
ftableadjust     92 238   1.00000 M2
wtableadjust     92 238   1.00000 M2
upbendc          92 238 0.00000E+00 M2
upbende          92 238 0.00000E+00 M2
upbendf          92 238 0.00000E+00 M2
upbendcadjust    92 238 1.00000E+00 M2
upbendeadjust    92 238 1.00000E+00 M2
upbendfadjust    92 238 1.00000E+00 M2
sgr              92 238   0.000 M2
egr              92 238   0.000 M2
ggr              92 238   0.000 M2
sgradjust        92 238   1.000 M2
egradjust        92 238   1.000 M2
ggradjust        92 238   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       92 238   1.00000
vfiscor          92 238   0.84000
rmiufiscor       92 238   1.00000
betafiscoradjust   92 238   1.00000
vfiscoradjust    92 238   1.00000
rmiufiscoradjust   92 238   1.00000
bdamp            92 238   0.01000  1
bdampadjust      92 238   1.00000  1
class2width      92 238   0.20000  1
Rtransmom        92 238   0.60000  1
Rclass2mom       92 238   1.00000  1
bdamp            92 238   0.01000  2
bdampadjust      92 238   1.00000  2
class2width      92 238   0.20000  2
Rtransmom        92 238   1.00000  2
Rclass2mom       92 238   1.00000  2
bdamp            92 238   0.01000  3
bdampadjust      92 238   1.00000  3
Rtransmom        92 238   1.00000  3
Rclass2mom       92 238   1.00000  3
## residual:
##   Z: 91
##   A: 238
##   nuclide: Pa238 
## parameters: 
##   level density
a                91 238  16.96730
aadjust          91 238   1.00000
gammald          91 238   0.07643
pair             91 238   0.00000
Pshift           91 238   0.00000   0
Pshiftadjust     91 238   0.00000   0
deltaW           91 238   3.64611   0
Ntop             91 238  30   0
Nlow             91 238   2   0
s2adjust         91 238   1.00000   0
ctable           91 238   0.00000   0
ptable           91 238   0.00000   0
ctableadjust     91 238   0.00000   0
ptableadjust     91 238   0.00000   0
Ufermi           91 238  30.00000   0
cfermi           91 238   5.00000   0
Krotconstant     91 238   1.00000   0
Pshift           91 238   0.00000   1
Pshiftadjust     91 238   0.00000   1
deltaW           91 238   2.50000   1
Ntop             91 238   1   1
Nlow             91 238   0   1
s2adjust         91 238   1.00000   1
ctable           91 238   0.00000   1
ptable           91 238   0.00000   1
ctableadjust     91 238   0.00000   1
ptableadjust     91 238   0.00000   1
Ufermi           91 238  45.00000   1
cfermi           91 238   5.00000   1
Krotconstant     91 238   1.00000   1
Pshift           91 238   0.00000   2
Pshiftadjust     91 238   0.00000   2
deltaW           91 238   0.60000   2
Ntop             91 238   1   2
Nlow             91 238   0   2
s2adjust         91 238   1.00000   2
ctable           91 238   0.00000   2
ptable           91 238   0.00000   2
ctableadjust     91 238   0.00000   2
ptableadjust     91 238   0.00000   2
Ufermi           91 238  45.00000   2
cfermi           91 238   5.00000   2
Krotconstant     91 238   1.00000   2
Pshift           91 238   0.00000   3
Pshiftadjust     91 238   0.00000   3
deltaW           91 238   0.60000   3
Ntop             91 238   1   3
Nlow             91 238   0   3
s2adjust         91 238   1.00000   3
ctable           91 238   0.00000   3
ptable           91 238   0.00000   3
ctableadjust     91 238   0.00000   3
ptableadjust     91 238   0.00000   3
Ufermi           91 238  45.00000   3
cfermi           91 238   5.00000   3
Krotconstant     91 238   1.00000   3
g                91 238  15.86667
gp               91 238   6.06667
gn               91 238   9.80000
gnadjust         91 238   1.00000
gpadjust         91 238   1.00000
gadjust          91 238   1.00000
Risomer          91 238   1.00000
## parameters: 
##   photon strength function
gamgam           91 238   0.00000
gamgamadjust     91 238   1.00000
etable           91 238   0.00000 E1
ftable           91 238   1.00000 E1
wtable           91 238   1.01700 E1
etableadjust     91 238   0.00000 E1
ftableadjust     91 238   1.00000 E1
wtableadjust     91 238   1.00000 E1
etable           91 238   0.00000 M1
ftable           91 238   1.00000 M1
wtable           91 238   1.00000 M1
etableadjust     91 238   0.00000 M1
ftableadjust     91 238   1.00000 M1
wtableadjust     91 238   1.00000 M1
upbendc          91 238 1.00000E-08 M1
upbende          91 238 8.00000E-01 M1
upbendf          91 238 0.00000E+00 M1
upbendcadjust    91 238 1.00000E+00 M1
upbendeadjust    91 238 1.00000E+00 M1
upbendfadjust    91 238 1.00000E+00 M1
sgr              91 238   0.000 M1
egr              91 238   0.000 M1
ggr              91 238   0.000 M1
sgradjust        91 238   1.000 M1
egradjust        91 238   1.000 M1
ggradjust        91 238   1.000 M1
etable           91 238   0.00000 E2
ftable           91 238   1.00000 E2
wtable           91 238   1.00000 E2
etableadjust     91 238   0.00000 E2
ftableadjust     91 238   1.00000 E2
wtableadjust     91 238   1.00000 E2
etable           91 238   0.00000 M2
ftable           91 238   1.00000 M2
wtable           91 238   1.00000 M2
etableadjust     91 238   0.00000 M2
ftableadjust     91 238   1.00000 M2
wtableadjust     91 238   1.00000 M2
upbendc          91 238 0.00000E+00 M2
upbende          91 238 0.00000E+00 M2
upbendf          91 238 0.00000E+00 M2
upbendcadjust    91 238 1.00000E+00 M2
upbendeadjust    91 238 1.00000E+00 M2
upbendfadjust    91 238 1.00000E+00 M2
sgr              91 238   0.000 M2
egr              91 238   0.000 M2
ggr              91 238   0.000 M2
sgradjust        91 238   1.000 M2
egradjust        91 238   1.000 M2
ggradjust        91 238   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       91 238   1.00000
vfiscor          91 238   0.86000
rmiufiscor       91 238   1.00000
betafiscoradjust   91 238   1.00000
vfiscoradjust    91 238   1.00000
rmiufiscoradjust   91 238   1.00000
bdamp            91 238   0.01000  1
bdampadjust      91 238   1.00000  1
class2width      91 238   0.20000  1
Rtransmom        91 238   0.60000  1
Rclass2mom       91 238   1.00000  1
bdamp            91 238   0.01000  2
bdampadjust      91 238   1.00000  2
class2width      91 238   0.20000  2
Rtransmom        91 238   1.00000  2
Rclass2mom       91 238   1.00000  2
bdamp            91 238   0.01000  3
bdampadjust      91 238   1.00000  3
Rtransmom        91 238   1.00000  3
Rclass2mom       91 238   1.00000  3
## residual:
##   Z: 91
##   A: 237
##   nuclide: Pa237 
## parameters: 
##   level density
a                91 237  16.90238
aadjust          91 237   1.00000
gammald          91 237   0.07653
pair             91 237   0.77948
Pshift           91 237   0.00000   0
Pshiftadjust     91 237   0.00000   0
deltaW           91 237   3.68343   0
Ntop             91 237  30   0
Nlow             91 237   2   0
s2adjust         91 237   1.00000   0
ctable           91 237   0.00000   0
ptable           91 237   0.00000   0
ctableadjust     91 237   0.00000   0
ptableadjust     91 237   0.00000   0
Ufermi           91 237  30.00000   0
cfermi           91 237   5.00000   0
Krotconstant     91 237   1.00000   0
Pshift           91 237   0.00000   1
Pshiftadjust     91 237   0.00000   1
deltaW           91 237   2.50000   1
Ntop             91 237   1   1
Nlow             91 237   0   1
s2adjust         91 237   1.00000   1
ctable           91 237   0.00000   1
ptable           91 237   0.00000   1
ctableadjust     91 237   0.00000   1
ptableadjust     91 237   0.00000   1
Ufermi           91 237  45.00000   1
cfermi           91 237   5.00000   1
Krotconstant     91 237   1.00000   1
Pshift           91 237   0.00000   2
Pshiftadjust     91 237   0.00000   2
deltaW           91 237   0.60000   2
Ntop             91 237   1   2
Nlow             91 237   0   2
s2adjust         91 237   1.00000   2
ctable           91 237   0.00000   2
ptable           91 237   0.00000   2
ctableadjust     91 237   0.00000   2
ptableadjust     91 237   0.00000   2
Ufermi           91 237  45.00000   2
cfermi           91 237   5.00000   2
Krotconstant     91 237   1.00000   2
Pshift           91 237   0.00000   3
Pshiftadjust     91 237   0.00000   3
deltaW           91 237   0.60000   3
Ntop             91 237   1   3
Nlow             91 237   0   3
s2adjust         91 237   1.00000   3
ctable           91 237   0.00000   3
ptable           91 237   0.00000   3
ctableadjust     91 237   0.00000   3
ptableadjust     91 237   0.00000   3
Ufermi           91 237  45.00000   3
cfermi           91 237   5.00000   3
Krotconstant     91 237   1.00000   3
g                91 237  15.80000
gp               91 237   6.06667
gn               91 237   9.73333
gnadjust         91 237   1.00000
gpadjust         91 237   1.00000
gadjust          91 237   1.00000
Risomer          91 237   1.00000
## parameters: 
##   photon strength function
gamgam           91 237   0.00000
gamgamadjust     91 237   1.00000
etable           91 237   0.00000 E1
ftable           91 237   1.00000 E1
wtable           91 237   1.01700 E1
etableadjust     91 237   0.00000 E1
ftableadjust     91 237   1.00000 E1
wtableadjust     91 237   1.00000 E1
etable           91 237   0.00000 M1
ftable           91 237   1.00000 M1
wtable           91 237   1.00000 M1
etableadjust     91 237   0.00000 M1
ftableadjust     91 237   1.00000 M1
