# Reference Number = 2408 Incident Particle: neutron  imodel=1 Target: Z= 92 A= 238 Ef = -5.480
# En(MeV)     RealPot   RVolPot   RSurPot    VSOPot   DVolPot    DVolNonL  DVolSym    ImPot    ImVolPot   ImSurPot   WSOPot
  0.001     420.3     396.8      23.5    -4.320     8.360     0.777     7.582    15.329     0.513    14.815     0.003
  0.002     420.3     396.8      23.5    -4.320     8.361     0.778     7.584    15.333     0.514    14.819     0.003
  0.003     420.3     396.8      23.5    -4.320     8.363     0.778     7.585    15.337     0.514    14.824     0.003
  0.004     420.3     396.8      23.5    -4.320     8.364     0.778     7.586    15.342     0.514    14.828     0.003
  0.005     420.3     396.8      23.5    -4.320     8.366     0.778     7.588    15.346     0.514    14.832     0.003
  0.006     420.3     396.8      23.5    -4.320     8.367     0.778     7.589    15.351     0.514    14.836     0.003
  0.007     420.3     396.8      23.5    -4.320     8.369     0.778     7.590    15.355     0.515    14.841     0.003
  0.008     420.3     396.8      23.5    -4.320     8.370     0.778     7.592    15.359     0.515    14.845     0.003
  0.009     420.3     396.8      23.5    -4.320     8.372     0.779     7.593    15.364     0.515    14.849     0.003
  0.010     420.2     396.8      23.5    -4.320     8.373     0.779     7.594    15.368     0.515    14.853     0.003
  0.020     420.2     396.7      23.5    -4.319     8.388     0.780     7.608    15.412     0.517    14.895     0.003
  0.030     420.2     396.7      23.5    -4.319     8.403     0.782     7.622    15.456     0.519    14.938     0.003
  0.040     420.2     396.7      23.5    -4.319     8.419     0.783     7.636    15.500     0.521    14.980     0.003
  0.050     420.2     396.7      23.6    -4.318     8.434     0.784     7.649    15.545     0.523    15.022     0.003
  0.060     420.2     396.6      23.6    -4.318     8.449     0.786     7.663    15.589     0.525    15.064     0.003
  0.070     420.2     396.6      23.6    -4.317     8.464     0.787     7.677    15.633     0.526    15.106     0.003
  0.080     420.2     396.6      23.6    -4.317     8.479     0.789     7.690    15.677     0.528    15.149     0.003
  0.090     420.2     396.6      23.6    -4.317     8.494     0.790     7.704    15.721     0.530    15.191     0.003
  0.100     420.2     396.5      23.7    -4.316     8.509     0.792     7.718    15.765     0.532    15.233     0.003
  0.200     420.1     396.3      23.8    -4.313     8.661     0.806     7.855    16.207     0.551    15.656     0.003
  0.300     420.1     396.0      24.0    -4.309     8.812     0.820     7.992    16.650     0.571    16.080     0.003
  0.400     420.0     395.8      24.2    -4.305     8.963     0.834     8.129    17.094     0.591    16.504     0.003
  0.500     419.9     395.5      24.4    -4.302     9.114     0.848     8.265    17.538     0.611    16.928     0.003
  0.600     419.8     395.3      24.5    -4.298     9.265     0.863     8.402    17.983     0.631    17.352     0.003
  0.700     419.7     395.0      24.7    -4.294     9.416     0.877     8.539    18.428     0.652    17.776     0.003
  0.800     419.6     394.8      24.8    -4.291     9.566     0.891     8.675    18.872     0.673    18.199     0.004
  0.900     419.5     394.5      24.9    -4.287     9.717     0.906     8.812    19.317     0.695    18.622     0.004
  1.000     419.4     394.3      25.1    -4.284     9.868     0.920     8.948    19.761     0.716    19.045     0.004
  1.100     419.2     394.1      25.2    -4.280    10.018     0.934     9.084    20.205     0.738    19.466     0.004
  1.200     419.1     393.8      25.3    -4.276    10.169     0.948     9.220    20.648     0.761    19.887     0.004
  1.300     418.9     393.6      25.4    -4.273    10.319     0.963     9.356    21.090     0.784    20.306     0.004
  1.400     418.8     393.3      25.5    -4.269    10.469     0.977     9.493    21.531     0.807    20.724     0.004
  1.500     418.6     393.1      25.5    -4.265    10.620     0.991     9.628    21.971     0.830    21.141     0.004
  1.600     418.4     392.8      25.6    -4.262    10.770     1.005     9.764    22.410     0.854    21.556     0.005
  1.700     418.3     392.6      25.7    -4.258    10.920     1.020     9.900    22.847     0.878    21.969     0.005
  1.800     418.1     392.3      25.8    -4.255    11.070     1.034    10.036    23.283     0.903    22.381     0.005
  1.900     417.9     392.1      25.8    -4.251    11.220     1.048    10.171    23.718     0.927    22.790     0.005
  2.000     417.7     391.8      25.9    -4.247    11.369     1.062    10.307    24.150     0.953    23.198     0.005
  2.100     417.5     391.6      25.9    -4.244    11.519     1.077    10.442    24.581     0.978    23.603     0.005
  2.200     417.3     391.3      25.9    -4.240    11.669     1.091    10.578    25.010     1.004    24.006     0.005
  2.300     417.1     391.1      26.0    -4.236    11.818     1.105    10.713    25.436     1.030    24.407     0.005
  2.400     416.8     390.9      26.0    -4.233    11.968     1.120    10.848    25.861     1.056    24.805     0.006
  2.500     416.6     390.6      26.0    -4.229    12.117     1.134    10.983    26.283     1.083    25.200     0.006
  2.600     416.4     390.4      26.0    -4.226    12.266     1.148    11.118    26.703     1.110    25.593     0.006
  2.700     416.1     390.1      26.0    -4.222    12.415     1.162    11.253    27.121     1.137    25.983     0.006
  2.800     415.9     389.9      26.0    -4.218    12.564     1.177    11.388    27.536     1.165    26.371     0.006
  2.900     415.6     389.6      26.0    -4.215    12.713     1.191    11.522    27.948     1.193    26.755     0.006
  3.000     415.4     389.4      26.0    -4.211    12.862     1.205    11.657    28.358     1.221    27.137     0.007
  3.100     415.1     389.2      26.0    -4.208    13.011     1.220    11.791    28.765     1.250    27.515     0.007
  3.200     414.9     388.9      25.9    -4.204    13.159     1.234    11.925    29.170     1.279    27.891     0.007
  3.300     414.6     388.7      25.9    -4.200    13.308     1.248    12.060    29.571     1.308    28.263     0.007
  3.400     414.3     388.4      25.9    -4.197    13.456     1.263    12.194    29.970     1.338    28.632     0.007
  3.500     414.0     388.2      25.8    -4.193    13.605     1.277    12.328    30.366     1.368    28.998     0.007
  3.600     413.7     388.0      25.8    -4.190    13.753     1.291    12.462    30.759     1.398    29.361     0.007
  3.700     413.5     387.7      25.7    -4.186    13.901     1.305    12.595    31.149     1.429    29.720     0.008
  3.800     413.2     387.5      25.7    -4.182    14.049     1.320    12.729    31.536     1.459    30.076     0.008
  3.900     412.9     387.2      25.6    -4.179    14.197     1.334    12.863    31.919     1.491    30.429     0.008
  4.000     412.6     387.0      25.6    -4.175    14.344     1.348    12.996    32.300     1.522    30.778     0.008
  4.200     411.9     386.5      25.4    -4.168    14.640     1.377    13.263    33.052     1.586    31.466     0.008
  4.400     411.3     386.0      25.3    -4.161    14.934     1.406    13.529    33.791     1.651    32.139     0.009
  4.600     410.7     385.6      25.1    -4.154    15.229     1.434    13.794    34.517     1.718    32.799     0.009
  4.800     410.0     385.1      24.9    -4.146    15.522     1.463    14.059    35.229     1.786    33.444     0.010
  5.000     409.3     384.6      24.7    -4.139    15.816     1.492    14.324    35.929     1.855    34.074     0.010
  5.200     408.6     384.2      24.5    -4.132    16.108     1.520    14.588    36.615     1.925    34.690     0.010
  5.400     407.9     383.7      24.3    -4.125    16.401     1.549    14.852    37.288     1.996    35.292     0.011
  5.600     407.2     383.2      24.0    -4.118    16.692     1.578    15.115    37.948     2.069    35.879     0.011
  5.800     406.5     382.7      23.8    -4.111    16.984     1.607    15.377    38.595     2.143    36.452     0.011
  6.000     405.8     382.3      23.5    -4.104    17.274     1.635    15.639    39.228     2.218    37.010     0.012
  6.200     405.1     381.8      23.2    -4.096    17.564     1.664    15.901    39.848     2.295    37.553     0.012
  6.400     404.3     381.4      23.0    -4.089    17.854     1.693    16.161    40.455     2.372    38.083     0.013
  6.600     403.6     380.9      22.7    -4.082    18.143     1.721    16.422    41.049     2.451    38.598     0.013
  6.800     402.8     380.4      22.4    -4.075    18.432     1.750    16.681    41.631     2.531    39.100     0.014
  7.000     402.1     380.0      22.1    -4.068    18.720     1.779    16.941    42.200     2.612    39.588     0.014
