# Reference Number = 2408 Incident Particle: neutron  imodel=1 Target: Z= 92 A= 238 Ef = -5.480
# En(MeV)     RealPot   RVolPot   RSurPot    VSOPot   DVolPot    DVolNonL  DVolSym    ImPot    ImVolPot   ImSurPot   WSOPot
  7.200     401.3     379.5      21.8    -4.061    19.007     1.808    17.199    42.756     2.694    40.062     0.015
  7.400     400.5     379.0      21.5    -4.054    19.294     1.836    17.457    43.300     2.778    40.522     0.015
  7.600     399.7     378.6      21.2    -4.047    19.580     1.865    17.715    43.832     2.863    40.969     0.015
  7.800     399.0     378.1      20.8    -4.040    19.865     1.894    17.971    44.352     2.949    41.403     0.016
  8.000     398.2     377.7      20.5    -4.033    20.150     1.923    18.228    44.860     3.036    41.825     0.016
  8.200     397.4     377.2      20.2    -4.025    20.435     1.952    18.483    45.357     3.124    42.233     0.017
  8.400     396.6     376.8      19.8    -4.018    20.718     1.980    18.738    45.842     3.213    42.629     0.017
  8.600     395.8     376.3      19.5    -4.011    21.001     2.009    18.992    46.317     3.304    43.013     0.018
  8.800     395.0     375.8      19.2    -4.004    21.284     2.038    19.246    46.780     3.395    43.385     0.018
  9.000     394.2     375.4      18.8    -3.997    21.566     2.067    19.499    47.233     3.488    43.745     0.019
  9.200     393.4     374.9      18.5    -3.990    21.847     2.096    19.751    47.676     3.582    44.093     0.019
  9.400     392.6     374.5      18.1    -3.983    22.127     2.125    20.003    48.108     3.677    44.430     0.020
  9.600     391.8     374.0      17.8    -3.976    22.407     2.153    20.254    48.530     3.773    44.756     0.020
  9.800     391.0     373.6      17.4    -3.969    22.686     2.182    20.504    48.942     3.871    45.072     0.021
 10.000     390.2     373.1      17.1    -3.962    22.965     2.211    20.753    49.345     3.969    45.376     0.022
 10.500     388.2     372.0      16.2    -3.945    23.658     2.283    21.374    50.312     4.220    46.092     0.023
 11.000     386.2     370.9      15.3    -3.927    24.346     2.356    21.991    51.224     4.477    46.747     0.024
 11.500     384.2     369.8      14.4    -3.910    25.030     2.428    22.602    52.085     4.742    47.344     0.026
 12.000     382.2     368.7      13.5    -3.892    25.710     2.500    23.209    52.898     5.012    47.885     0.027
 12.500     380.3     367.6      12.7    -3.875    26.385     2.573    23.812    53.665     5.290    48.376     0.029
 13.000     378.3     366.5      11.8    -3.858    27.054     2.645    24.409    54.391     5.573    48.818     0.031
 13.500     376.3     365.4      10.9    -3.840    27.719     2.718    25.002    55.077     5.863    49.214     0.032
 14.000     374.4     364.3      10.1    -3.823    28.379     2.790    25.589    55.727     6.159    49.568     0.034
 14.500     372.5     363.2       9.2    -3.806    29.034     2.863    26.171    56.343     6.460    49.882     0.036
 15.000     370.6     362.2       8.4    -3.789    29.684     2.936    26.748    56.927     6.768    50.159     0.037
 15.500     368.7     361.1       7.6    -3.772    30.329     3.008    27.320    57.482     7.082    50.401     0.039
 16.000     366.8     360.0       6.8    -3.755    30.968     3.081    27.887    58.010     7.401    50.609     0.041
 16.500     365.0     359.0       6.0    -3.738    31.602     3.154    28.448    58.513     7.725    50.787     0.043
 17.000     363.1     357.9       5.2    -3.721    32.230     3.227    29.003    58.992     8.055    50.937     0.045
